#miRNA	read_count	precursor	total	seq	seq(norm)
gga-let-7a-5p	542276.00	gga-let-7a-1	542276.00	542276.00	70893.98
gga-let-7j-5p	542276.00	gga-let-7a-1	542276.00	542276.00	70893.98
gga-let-7a-5p	539445.00	gga-let-7a-2	539445.00	539445.00	70523.87
gga-let-7j-5p	539445.00	gga-let-7a-2	539445.00	539445.00	70523.87
gga-let-7a-5p	544519.00	gga-let-7a-3	544519.00	544519.00	71187.22
gga-let-7j-5p	544519.00	gga-let-7a-3	544519.00	544519.00	71187.22
gga-let-7b	140677.00	gga-let-7b	140677.00	140677.00	18391.29
gga-let-7c-5p	37006.00	gga-let-7c	37006.00	37006.00	4837.95
gga-let-7d	796.00	gga-let-7d	796.00	796.00	104.06
gga-let-7f-5p	217961.00	gga-let-7f	217961.00	217961.00	28494.94
gga-let-7g-5p	62978.00	gga-let-7g	62978.00	62978.00	8233.37
gga-let-7i	35419.00	gga-let-7i	35419.00	35419.00	4630.47
gga-let-7a-5p	544925.00	gga-let-7j	544925.00	544925.00	71240.30
gga-let-7j-5p	544925.00	gga-let-7j	544925.00	544925.00	71240.30
gga-let-7k-5p	35871.00	gga-let-7k	35871.00	35871.00	4689.56
gga-let-7l-5p	19025.00	gga-let-7l-1	19025.00	19025.00	2487.22
gga-let-7l-5p	19025.00	gga-let-7l-2	19025.00	19025.00	2487.22
gga-miR-100-5p	15250.00	gga-mir-100	15250.00	15250.00	1993.70
gga-miR-101-1-5p	90.00	gga-mir-101-1	90.00	90.00	11.77
gga-miR-101-2-5p	76.00	gga-mir-101-2	76.00	76.00	9.94
gga-miR-103-1-5p	0.00	gga-mir-103-1	0.00	0	0
gga-miR-103-2-5p	0.00	gga-mir-103-2	0.00	0	0
gga-miR-10585-5p	0.00	gga-mir-10585	0.00	0	0
gga-miR-10585-3p	0.00	gga-mir-10585	0.00	0	0
gga-miR-106-5p	5091.00	gga-mir-106	5091.00	5091.00	665.57
gga-miR-107-5p	22.00	gga-mir-107	22.00	22.00	2.88
gga-miR-10a-5p	1.00	gga-mir-10a	1.00	1.00	0.13
gga-miR-10b-5p	270.00	gga-mir-10b	270.00	270.00	35.30
gga-miR-10c-5p	0.00	gga-mir-10c	0.00	0	0
gga-miR-122-5p	8.00	gga-mir-122-1	8.00	8.00	1.05
gga-miR-122-5p	8.00	gga-mir-122-2	8.00	8.00	1.05
gga-miR-12207-5p	0.00	gga-mir-12207	0.00	0	0
gga-miR-12207-3p	0.00	gga-mir-12207	0.00	0	0
gga-miR-12208-5p	0.00	gga-mir-12208	0.00	0	0
gga-miR-12208-3p	0.00	gga-mir-12208	0.00	0	0
gga-miR-12209-5p	0.00	gga-mir-12209	0.00	0	0
gga-miR-12209-3p	0.00	gga-mir-12209	0.00	0	0
gga-miR-12210-5p	0.00	gga-mir-12210	0.00	0	0
gga-miR-12211-5p	0.00	gga-mir-12211	0.00	0	0
gga-miR-12211-3p	0.00	gga-mir-12211	0.00	0	0
gga-miR-12212-5p	6.00	gga-mir-12212	6.00	6.00	0.78
gga-miR-12213-5p	0.00	gga-mir-12213	0.00	0	0
gga-miR-12213-3p	0.00	gga-mir-12213	0.00	0	0
gga-miR-12214-5p	0.00	gga-mir-12214	0.00	0	0
gga-miR-12214-3p	0.00	gga-mir-12214	0.00	0	0
gga-miR-12215-5p	93.00	gga-mir-12215	93.00	93.00	12.16
gga-miR-12216-5p	2.00	gga-mir-12216	2.00	2.00	0.26
gga-miR-12218-5p	0.00	gga-mir-12218	0.00	0	0
gga-miR-12218-3p	0.00	gga-mir-12218	0.00	0	0
gga-miR-12219-5p	3.00	gga-mir-12219	3.00	3.00	0.39
gga-miR-12219-3p	0.00	gga-mir-12219	0.00	0	0
gga-miR-12220-5p	1.00	gga-mir-12220	1.00	1.00	0.13
gga-miR-12221-5p	0.00	gga-mir-12221-1	0.00	0	0
gga-miR-12221-5p	0.00	gga-mir-12221-2	0.00	0	0
gga-miR-12222-5p	0.00	gga-mir-12222	0.00	0	0
gga-miR-12223-5p	0.00	gga-mir-12223	0.00	0	0
gga-miR-12223-3p	0.00	gga-mir-12223	0.00	0	0
gga-miR-12224-5p	0.00	gga-mir-12224	0.00	0	0
gga-miR-12224-3p	0.00	gga-mir-12224	0.00	0	0
gga-miR-12225-5p	0.00	gga-mir-12225	0.00	0	0
gga-miR-12226-5p	0.00	gga-mir-12226	0.00	0	0
gga-miR-12227-5p	0.00	gga-mir-12227	0.00	0	0
gga-miR-12227-3p	0.00	gga-mir-12227	0.00	0	0
gga-miR-12228-5p	4.00	gga-mir-12228	4.00	4.00	0.52
gga-miR-12228-3p	0.00	gga-mir-12228	0.00	0	0
gga-miR-12229-5p	4.00	gga-mir-12229	4.00	4.00	0.52
gga-miR-12230-5p	0.00	gga-mir-12230	0.00	0	0
gga-miR-12231-5p	0.00	gga-mir-12231	0.00	0	0
gga-miR-12232-5p	0.00	gga-mir-12232	0.00	0	0
gga-miR-12233-5p	0.00	gga-mir-12233	0.00	0	0
gga-miR-12233-3p	0.00	gga-mir-12233	0.00	0	0
gga-miR-12234-5p	0.00	gga-mir-12234	0.00	0	0
gga-miR-12234-3p	0.00	gga-mir-12234	0.00	0	0
gga-miR-12235-5p	3.00	gga-mir-12235	3.00	3.00	0.39
gga-miR-12236-5p	0.00	gga-mir-12236	0.00	0	0
gga-miR-12236-3p	0.00	gga-mir-12236	0.00	0	0
gga-miR-12237-5p	2.00	gga-mir-12237	2.00	2.00	0.26
gga-miR-12239-5p	0.00	gga-mir-12239	0.00	0	0
gga-miR-12239-3p	0.00	gga-mir-12239	0.00	0	0
gga-miR-12240-5p	0.00	gga-mir-12240	0.00	0	0
gga-miR-12242-5p	0.00	gga-mir-12242	0.00	0	0
gga-miR-12243-5p	0.00	gga-mir-12243	0.00	0	0
gga-miR-12244-5p	0.00	gga-mir-12244	0.00	0	0
gga-miR-12245-5p	0.00	gga-mir-12245	0.00	0	0
gga-miR-12245-3p	7.00	gga-mir-12245	7.00	7.00	0.92
gga-miR-12246-5p	2.00	gga-mir-12246	2.00	2.00	0.26
gga-miR-12246-3p	0.00	gga-mir-12246	0.00	0	0
gga-miR-12247-5p	1.00	gga-mir-12247-1	1.00	1.00	0.13
gga-miR-12247-3p	0.00	gga-mir-12247-1	0.00	0	0
gga-miR-12247-5p	1.00	gga-mir-12247-2	1.00	1.00	0.13
gga-miR-12247-3p	0.00	gga-mir-12247-2	0.00	0	0
gga-miR-12248-5p	0.00	gga-mir-12248	0.00	0	0
gga-miR-12248-3p	0.00	gga-mir-12248	0.00	0	0
gga-miR-12249-5p	0.00	gga-mir-12249	0.00	0	0
gga-miR-12250-5p	0.00	gga-mir-12250	0.00	0	0
gga-miR-12251-5p	0.00	gga-mir-12251	0.00	0	0
gga-miR-12252-5p	0.00	gga-mir-12252	0.00	0	0
gga-miR-12252-3p	0.00	gga-mir-12252	0.00	0	0
gga-miR-12253-5p	1.00	gga-mir-12253	1.00	1.00	0.13
gga-miR-12254-5p	0.00	gga-mir-12254	0.00	0	0
gga-miR-12255-5p	0.00	gga-mir-12255	0.00	0	0
gga-miR-12256-5p	0.00	gga-mir-12256	0.00	0	0
gga-miR-12257-5p	1.00	gga-mir-12257	1.00	1.00	0.13
gga-miR-12258-5p	0.00	gga-mir-12258	0.00	0	0
gga-miR-12259-5p	0.00	gga-mir-12259	0.00	0	0
gga-miR-12260-5p	0.00	gga-mir-12260	0.00	0	0
gga-miR-12261-5p	0.00	gga-mir-12261	0.00	0	0
gga-miR-12262-5p	0.00	gga-mir-12262	0.00	0	0
gga-miR-12263-5p	0.00	gga-mir-12263	0.00	0	0
gga-miR-12263-3p	0.00	gga-mir-12263	0.00	0	0
gga-miR-12264-5p	0.00	gga-mir-12264	0.00	0	0
gga-miR-12265-5p	0.00	gga-mir-12265	0.00	0	0
gga-miR-12265-3p	0.00	gga-mir-12265	0.00	0	0
gga-miR-12266-5p	338.00	gga-mir-12266-1	338.00	338.00	44.19
gga-miR-12266-3p	30.00	gga-mir-12266-1	30.00	30.00	3.92
gga-miR-12266-5p	338.00	gga-mir-12266-2	338.00	338.00	44.19
gga-miR-12266-3p	30.00	gga-mir-12266-2	30.00	30.00	3.92
gga-miR-12266-5p	338.00	gga-mir-12266-3	338.00	338.00	44.19
gga-miR-12266-3p	30.00	gga-mir-12266-3	30.00	30.00	3.92
gga-miR-12267-5p	0.00	gga-mir-12267	0.00	0	0
gga-miR-12268-5p	53.00	gga-mir-12268	53.00	53.00	6.93
gga-miR-12269-5p	0.00	gga-mir-12269	0.00	0	0
gga-miR-12269-3p	0.00	gga-mir-12269	0.00	0	0
gga-miR-12270-5p	0.00	gga-mir-12270	0.00	0	0
gga-miR-12271-5p	0.00	gga-mir-12271	0.00	0	0
gga-miR-12272-5p	0.00	gga-mir-12272	0.00	0	0
gga-miR-12272-3p	0.00	gga-mir-12272	0.00	0	0
gga-miR-12273-5p	8.00	gga-mir-12273	8.00	8.00	1.05
gga-miR-12273-3p	18.00	gga-mir-12273	18.00	18.00	2.35
gga-miR-12274-5p	0.00	gga-mir-12274	0.00	0	0
gga-miR-12274-3p	0.00	gga-mir-12274	0.00	0	0
gga-miR-12275-5p	1.00	gga-mir-12275	1.00	1.00	0.13
gga-miR-12276-5p	0.00	gga-mir-12276	0.00	0	0
gga-miR-12276-3p	0.00	gga-mir-12276	0.00	0	0
gga-miR-12277-5p	0.00	gga-mir-12277	0.00	0	0
gga-miR-12278-5p	0.00	gga-mir-12278	0.00	0	0
gga-miR-12279-5p	5.00	gga-mir-12279	5.00	5.00	0.65
gga-miR-12279-3p	0.00	gga-mir-12279	0.00	0	0
gga-miR-12280-5p	0.00	gga-mir-12280	0.00	0	0
gga-miR-12280-3p	0.00	gga-mir-12280	0.00	0	0
gga-miR-12282-5p	7.00	gga-mir-12282	7.00	7.00	0.92
gga-miR-12283-5p	0.00	gga-mir-12283	0.00	0	0
gga-miR-12284-5p	0.00	gga-mir-12284	0.00	0	0
gga-miR-12284-3p	0.00	gga-mir-12284	0.00	0	0
gga-miR-12285-5p	0.00	gga-mir-12285	0.00	0	0
gga-miR-12285-3p	0.00	gga-mir-12285	0.00	0	0
gga-miR-12286-5p	0.00	gga-mir-12286	0.00	0	0
gga-miR-12287-5p	0.00	gga-mir-12287	0.00	0	0
gga-miR-12288-5p	11.00	gga-mir-12288	11.00	11.00	1.44
gga-miR-12288-3p	6.00	gga-mir-12288	6.00	6.00	0.78
gga-miR-12289-5p	0.00	gga-mir-12289-1	0.00	0	0
gga-miR-12289-3p	0.00	gga-mir-12289-1	0.00	0	0
gga-miR-12289-5p	0.00	gga-mir-12289-2	0.00	0	0
gga-miR-12289-3p	0.00	gga-mir-12289-2	0.00	0	0
gga-miR-12290-5p	0.00	gga-mir-12290	0.00	0	0
gga-miR-12290-3p	0.00	gga-mir-12290	0.00	0	0
gga-miR-12292-5p	0.00	gga-mir-12292	0.00	0	0
gga-miR-12292-3p	0.00	gga-mir-12292	0.00	0	0
gga-miR-12293-5p	0.00	gga-mir-12293	0.00	0	0
gga-miR-12294-5p	0.00	gga-mir-12294	0.00	0	0
gga-miR-12295-5p	8.00	gga-mir-12295	8.00	8.00	1.05
gga-miR-12295-3p	0.00	gga-mir-12295	0.00	0	0
gga-miR-122b	0.00	gga-mir-122b	0.00	0	0
gga-miR-122b-5p	0.00	gga-mir-122b-1	0.00	0	0
gga-miR-122b-3p	0.00	gga-mir-122b-1	0.00	0	0
gga-miR-122b-5p	0.00	gga-mir-122b-2	0.00	0	0
gga-miR-122b-3p	0.00	gga-mir-122b-2	0.00	0	0
gga-miR-124a-5p	0.00	gga-mir-124a	0.00	0	0
gga-miR-124a-5p	0.00	gga-mir-124a-2	0.00	0	0
gga-miR-124c-5p	0.00	gga-mir-124c	0.00	0	0
gga-miR-125b-5p	203670.00	gga-mir-125b-1	203670.00	203670.00	26626.62
gga-miR-125b-5p	203331.00	gga-mir-125b-2	203331.00	203331.00	26582.30
gga-miR-126-5p	148.00	gga-mir-126	148.00	148.00	19.35
gga-miR-128-1-5p	499.00	gga-mir-128-1	499.00	499.00	65.24
gga-miR-128-2-5p	202.00	gga-mir-128-2	202.00	202.00	26.41
gga-miR-129-5p	973.00	gga-mir-129-1	973.00	973.00	127.20
gga-miR-129-5p	974.00	gga-mir-129-2	974.00	974.00	127.34
gga-miR-129-5p	974.00	gga-mir-129-3	974.00	974.00	127.34
gga-miR-1306-5p	728.00	gga-mir-1306	728.00	728.00	95.17
gga-miR-130a-5p	988.00	gga-mir-130a	988.00	988.00	129.17
gga-miR-130b-5p	16832.00	gga-mir-130b	16832.00	16832.00	2200.52
gga-miR-130c-5p	59.00	gga-mir-130c	59.00	59.00	7.71
gga-miR-1329-5p	106.00	gga-mir-1329	106.00	106.00	13.86
gga-miR-132a-5p	10.00	gga-mir-132a	10.00	10.00	1.31
gga-miR-132a-3p	23.00	gga-mir-132a	23.00	23.00	3.01
gga-miR-132b-5p	1.00	gga-mir-132b	1.00	1.00	0.13
gga-miR-132b-3p	4.00	gga-mir-132b	4.00	4.00	0.52
gga-miR-132c-5p	3.00	gga-mir-132c	3.00	3.00	0.39
gga-miR-133a-5p	429.00	gga-mir-133a-1	429.00	429.00	56.08
gga-miR-133a-5p	428.00	gga-mir-133a-2	428.00	428.00	55.95
gga-miR-133c-5p	4.00	gga-mir-133c	4.00	4.00	0.52
gga-miR-1354	0.00	gga-mir-1354	0.00	0	0
gga-miR-135a-5p	388.00	gga-mir-135a-1	388.00	388.00	50.72
gga-miR-135a-5p	388.00	gga-mir-135a-2	388.00	388.00	50.72
gga-miR-135a-5p	388.00	gga-mir-135a-3	388.00	388.00	50.72
gga-miR-137-5p	0.00	gga-mir-137	0.00	0	0
gga-miR-138-5p	156.00	gga-mir-138-1	156.00	156.00	20.39
gga-miR-138-5p	156.00	gga-mir-138-2	156.00	156.00	20.39
gga-miR-1388a-5p	56.00	gga-mir-1388a	56.00	56.00	7.32
gga-miR-1388b-5p	0.00	gga-mir-1388b	0.00	0	0
gga-miR-1397-5p	1.00	gga-mir-1397	1.00	1.00	0.13
gga-miR-140-5p	4304.00	gga-mir-140	4304.00	4304.00	562.68
gga-miR-1416-5p	36168.00	gga-mir-1416	36168.00	36168.00	4728.39
gga-miR-142-5p	9.00	gga-mir-142	9.00	9.00	1.18
gga-miR-143-5p	570.00	gga-mir-143	570.00	570.00	74.52
gga-miR-1434	2.00	gga-mir-1434	2.00	2.00	0.26
gga-miR-144-5p	6.00	gga-mir-144	6.00	6.00	0.78
gga-miR-145-5p	26074.00	gga-mir-145	26074.00	26074.00	3408.76
gga-miR-1451-5p	27668.00	gga-mir-1451	27668.00	27668.00	3617.15
gga-miR-1452	0.00	gga-mir-1452	0.00	0	0
gga-miR-1456-5p	288.00	gga-mir-1456	288.00	288.00	37.65
gga-miR-1459	0.00	gga-mir-1459	0.00	0	0
gga-miR-1460	0.00	gga-mir-1460	0.00	0	0
gga-miR-1462-5p	0.00	gga-mir-1462	0.00	0	0
gga-miR-1464	0.00	gga-mir-1464	0.00	0	0
gga-miR-1465	0.00	gga-mir-1465	0.00	0	0
gga-miR-1466	0.00	gga-mir-1466	0.00	0	0
gga-miR-1467-5p	0.00	gga-mir-1467-1	0.00	0	0
gga-miR-1467-5p	0.00	gga-mir-1467-2	0.00	0	0
gga-miR-146a-5p	3126.00	gga-mir-146a	3126.00	3126.00	408.67
gga-miR-146b-5p	45889.00	gga-mir-146b	45889.00	45889.00	5999.26
gga-miR-146c-5p	49200.00	gga-mir-146c	49200.00	49200.00	6432.12
gga-miR-148a-5p	25.00	gga-mir-148a	25.00	25.00	3.27
gga-miR-148b-5p	627.00	gga-mir-148b	627.00	627.00	81.97
gga-miR-153-5p	0.00	gga-mir-153	0.00	0	0
gga-miR-155	3.00	gga-mir-155	3.00	3.00	0.39
gga-miR-1550-5p	0.00	gga-mir-1550	0.00	0	0
gga-miR-1551-5p	0.00	gga-mir-1551	0.00	0	0
gga-miR-1552-5p	431.00	gga-mir-1552	431.00	431.00	56.35
gga-miR-1553-5p	0.00	gga-mir-1553	0.00	0	0
gga-miR-1554	0.00	gga-mir-1554	0.00	0	0
gga-miR-1555-5p	0.00	gga-mir-1555	0.00	0	0
gga-miR-1557	0.00	gga-mir-1557	0.00	0	0
gga-miR-1559-5p	1588.00	gga-mir-1559	1588.00	1588.00	207.61
gga-miR-1560-5p	0.00	gga-mir-1560	0.00	0	0
gga-miR-1561	39.00	gga-mir-1561	39.00	39.00	5.10
gga-miR-1562-5p	0.00	gga-mir-1562	0.00	0	0
gga-miR-1563	1.00	gga-mir-1563	1.00	1.00	0.13
gga-miR-1564-5p	0.00	gga-mir-1564	0.00	0	0
gga-miR-1573	0.00	gga-mir-1573	0.00	0	0
gga-miR-1574-5p	0.00	gga-mir-1574	0.00	0	0
gga-miR-1575	0.00	gga-mir-1575	0.00	0	0
gga-miR-1579	0.00	gga-mir-1579	0.00	0	0
gga-miR-1581	0.00	gga-mir-1581	0.00	0	0
gga-miR-1584	1.00	gga-mir-1584	1.00	1.00	0.13
